ID,Americas,EU,APAC,"missing
completely",Dupes,Database,,Schema,Type,Name,"comments
in column
AF?","# queries
","# users
","storage
in GB","mapped
AURORA
source product","mapped
AURORA
data product",comments,Data Model Availability,UAT Start Date,Go-live Date,,PRE-FILTER
ANALYTICS;FACT_CLM_PRESENTATION,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,FACT_CLM_PRESENTATION,yes,18882,61,21.04,Vault CRM,Calls incl. Time off Territory 1.0 (Vault CRM),Sarah: Content data product - to be created in base data file,Available,8/25/25,9/15/25,,Veeva
ANALYTICS;CAMPAIGN_ANALYSIS__NEWSLETTER_EMAIL_ACTIVITY,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,CAMPAIGN_ANALYSIS__NEWSLETTER_EMAIL_ACTIVITY,no,0,0,0,SFMC,Newsletter 1.0 (SFMC),,Available,Completed,2/11/25,,SFMC
ENRICH;BV_GMDA_QUARTERLY_GLB,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_GMDA_QUARTERLY_GLB,no,18815,16,115.387,GMDA,,,,,,,GMDA
ANALYTICS;FACT_TERRITORY_TIME_OFF,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,FACT_TERRITORY_TIME_OFF,no,18637,47,1.04,Vault CRM,Calls incl. Time off Territory 1.0 (Vault CRM),,Available,8/25/25,9/15/25,,Veeva
ENRICH;BV_TRUMAN_SUB_IDENTITIES_ALIASES,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_TRUMAN_SUB_IDENTITIES_ALIASES,no,18574,48,1.483,Truman,Consent 1.0,,Available,Completed,3/5/25,,Truman
ENRICH;BV_VEEVA_CRM_CALL2_DETAIL_VOD__C_EC2,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_CALL2_DETAIL_VOD__C_EC2,no,18490,8,3.686,Vault CRM,,,,,,,Veeva
ENRICH;BV_VEEVA_CRM_CALL2_DETAIL_VOD__C_MEC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_CALL2_DETAIL_VOD__C_MEC1,no,18216,8,5.163,Vault CRM,,,,,,,Veeva
ENRICH;BV_VEEVA_CRM_CALL2_DETAIL_VOD__C_EC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_CALL2_DETAIL_VOD__C_EC1,no,18209,7,3.843,Vault CRM,,,,,,,Veeva
ENRICH;BV_TRUMAN_DIGITAL_IDENTITY,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_TRUMAN_DIGITAL_IDENTITY,no,18178,43,0.896,Truman,Consent 1.0,,Available,Completed,3/5/25,,Truman
ANALYTICS;FACT_KEY_MESSAGE_ACTIVITY,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,FACT_KEY_MESSAGE_ACTIVITY,no,17991,65,34.411,Vault CRM,Calls incl. Time off Territory 1.0 (Vault CRM),,Available,8/25/25,9/15/25,,Veeva
